type,startTime,sportTime,distance,maxPace,minPace,avgPace,calories
8,2021-12-15 07:40:22+0000,2998,358.0,0.35684243,7278.0,0.411,529.0
8,2021-12-14 07:43:42+0000,3273,374.0,0.37174544,7619.0,0.429,609.0
8,2021-12-13 07:51:47+0000,2237,394.0,0.39165157,4547.0,0.491,361.0
8,2021-12-07 07:46:09+0000,2817,353.0,0.34174192,6586.0,0.427,489.0
8,2021-12-06 08:01:40+0000,2552,298.0,0.29848197,6139.0,0.415,439.0
8,2021-12-03 07:44:01+0000,3162,365.0,0.36523193,7145.0,0.442,510.0
8,2021-12-02 07:39:47+0000,3867,381.0,0.38179743,5245.0,0.737,480.0
